City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.34,86,31,10.48,PN,1691497106
1,shiguai,40.7058,110.2856,26.38,39,6,2.43,CN,1691497106
2,puerto natales,-51.7236,-72.4875,-2.82,94,95,1.33,CL,1691497106
3,nagqu,31.5,92.0,14.42,57,100,0.63,CN,1691497107
4,sandnessjoen,66.0217,12.6316,26.29,56,20,7.72,NO,1691497107
5,edinburgh of the seven seas,-37.0676,-12.3116,14.75,85,85,20.63,SH,1691497107
6,san antonio de pale,-1.4014,5.6325,23.34,77,86,5.06,GQ,1691497107
7,yellowknife,62.456,-114.3525,13.29,88,40,3.6,CA,1691496947
8,tapiramuta,-11.8472,-40.7914,17.43,88,100,1.87,BR,1691497108
9,ushuaia,-54.8,-68.3,3.81,75,0,3.09,AR,1691496888
10,hamilton,39.1834,-84.5333,19.57,93,0,1.54,US,1691496930
11,punta arenas,-53.15,-70.9167,1.07,83,100,0.89,CL,1691497026
12,kourou,5.1552,-52.6478,28.03,79,71,3.58,GF,1691497108
13,iqaluit,63.7506,-68.5145,5.85,86,75,3.09,CA,1691497108
14,lerwick,60.1545,-1.1494,13.0,68,99,11.94,GB,1691497109
15,porbandar,21.6422,69.6093,27.97,79,96,9.35,IN,1691497109
16,port lincoln,-34.7333,135.8667,12.05,67,1,4.4,AU,1691497109
17,tiksi,71.6872,128.8694,10.98,67,23,1.22,RU,1691497109
18,papao,-17.75,-149.55,22.82,79,60,5.65,PF,1691497110
19,waitangi,-43.9535,-176.5597,9.9,95,100,1.79,NZ,1691497110
20,broome,42.2506,-75.833,20.37,93,100,5.14,US,1691497110
21,grytviken,-54.2811,-36.5092,-4.73,83,22,4.53,GS,1691497110
22,blackmans bay,-43.0167,147.3167,6.4,90,49,2.27,AU,1691497110
23,hawaiian paradise park,19.5933,-154.9731,24.39,89,100,3.6,US,1691497111
24,tarauaca,-8.1614,-70.7656,25.06,77,22,0.45,BR,1691496864
25,olonkinbyen,70.9221,-8.7187,4.76,87,100,3.61,SJ,1691497112
26,kosh-agach,50.0,88.6667,20.49,43,89,3.51,RU,1691497112
27,byron bay,-28.65,153.6167,14.3,81,24,3.32,AU,1691497005
28,pacific grove,36.6177,-121.9166,13.06,94,100,2.24,US,1691497113
29,holualoa,19.6228,-155.9522,24.91,78,0,4.12,US,1691497113
30,altos,-5.0381,-42.46,29.17,47,40,3.55,BR,1691497113
31,albany,42.6001,-73.9662,22.32,90,83,2.37,US,1691497113
32,longyearbyen,78.2186,15.6401,9.91,62,20,6.17,SJ,1691497114
33,iskateley,67.6803,53.1512,19.52,38,65,2.84,RU,1691497114
34,kavaratti,10.5669,72.642,27.74,79,100,7.09,IN,1691497114
35,port-aux-francais,-49.35,70.2167,1.48,88,94,17.36,TF,1691497114
36,yuzhno-kurilsk,44.0306,145.8556,15.34,99,100,3.71,RU,1691497114
37,ilulissat,69.2167,-51.1,9.01,57,40,2.06,GL,1691497114
38,moranbah,-22.0016,148.0466,14.99,75,0,4.33,AU,1691497056
39,avarua,-21.2078,-159.775,18.03,88,20,1.03,CK,1691497115
40,el rosario,24.2556,-107.1828,26.48,83,3,1.53,MX,1691497115
41,horta,38.5333,-28.6333,24.45,82,20,3.58,PT,1691497115
42,lazaro cardenas,17.9583,-102.2,27.07,85,41,2.03,MX,1691497115
43,lihue,21.9789,-159.3672,26.77,77,100,10.29,US,1691497115
44,happy valley-goose bay,53.3168,-60.3315,14.17,82,100,3.09,CA,1691497116
45,hrebinka,50.1171,32.4361,26.95,30,36,4.56,UA,1691497116
46,veraval,20.9,70.3667,27.76,81,95,8.04,IN,1691497116
47,bredasdorp,-34.5322,20.0403,15.76,64,97,4.5,ZA,1691496873
48,sos'va,59.1766,61.8558,27.66,40,7,3.63,RU,1691497116
49,morden,49.1919,-98.1014,14.79,100,35,0.51,CA,1691496848
50,mil'kovo,55.6078,37.7956,26.3,53,61,1.98,RU,1691497117
51,rantepao,-2.9701,119.8978,19.85,99,86,0.65,ID,1691497117
52,wailua homesteads,22.0669,-159.378,26.44,82,100,10.29,US,1691497117
53,vila velha,-20.3297,-40.2925,23.97,67,0,2.57,BR,1691496983
54,tocopilla,-22.092,-70.1979,17.97,70,25,2.92,CL,1691496952
55,selfoss,63.9331,-20.9971,14.47,78,98,1.46,IS,1691497118
56,bosaso,11.2842,49.1816,35.31,44,41,8.32,SO,1691497118
57,anadyr,64.75,177.4833,10.28,87,75,2.0,RU,1691497118
58,kamaishi,39.2667,141.8833,25.3,96,69,3.7,JP,1691497118
59,qaqortoq,60.7167,-46.0333,7.0,73,4,3.1,GL,1691497118
60,suva,-18.1416,178.4415,22.71,88,40,2.06,FJ,1691497118
61,stanley,54.868,-1.6985,17.51,54,20,7.2,GB,1691496963
